SLUS_002.12|Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft (Demo)||
SLPS_002.08|Advanced V.G.||アドヴァンストＶＧ
SLPM_800.17|Advanced V.G. (Demo) (Taikenban)||アドヴァンストＶＧ（体験版）
SLPS_013.18|Advanced V.G. 2||アドヴァンストＶＧ２
SLPM_803.11|Advanced V.G. 2 (Taikenban)||アドヴァンストＶＧ２（体験版）
SCED_006.10|Adventures of Lomax + Porsche Challenge + Pandemonium + Tomb Raider + 2 Xtreme + Reloaded||
SLPS_023.67|Aerodive||エアロダイブ
SLPM_805.52|Affect Taikenban Vol. 1 (Taikenban)||アフェクト　体験版　Ｖｏｌ．１（体験版）
SLPS_009.95|Afraid Gear||アフレイド・ギア
SLPM_868.34|Afraid Gear Another||アフレイドギア・アナザ
SLES_004.74|Agent Armstrong||
SLPS_010.73|Agent Armstrong: Himitsu Shirei Daisakusen||エージェント・アームストロング　～秘密指令大作戦～
SLES_001.24|Agile Warrior: F-111X||
SLPS_001.79|Agile Warrior: F-111X||アジャイル・ウォーリアー
SLUS_000.23|Agile Warrior: F-111X||
PTPX_970.02|Aging Disk||
SLPS_014.09|Ai to Yuujou no Neko Monogatari. Jingle Cats: Love Para Daisakusen no Maki||愛と友情のネコ物語．　ジングルキャッツ　ラブパラ大作戦の巻
SCES_000.07|Air Combat||
SLUS_000.01|Air Combat||
SLES_037.43|Air Hockey||
SLUS_014.67|Air Hockey||
SLPS_002.69|Air Management '96||エアー・マネジメント’９６
SLES_007.62|Air Race||
PCPX_960.41|AirAssault: The Red Mercury Missions||エア・アサルト
SIPS_600.05|AirAssault: The Red Mercury Missions||エア・アサルト
SLPS_005.59|AirGrave||エアグレイブ
SLPS_018.79|AirRace Championship||エアレース・チャンピオンシップ
SLES_021.37|Aironauts||
SLPS_010.96|Aishiau Koto Shika Dekinai||愛しあう事しかできない
SLPM_862.54|Aitakute...: Your Smiles in My Heart (Disc 1)||あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～（ディスク１）
SLPM_862.55|Aitakute...: Your Smiles in My Heart (Disc 2)||あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～（ディスク２）
SLPM_862.56|Aitakute...: Your Smiles in My Heart (Disc 3)||あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～（ディスク３）
SLPM_862.57|Aitakute...: Your Smiles in My Heart (Disc 4)||あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～（ディスク４）
SLPM_801.62|Aitakute...: Your Smiles in My Heart: Oroshitate no Diary: Introduction Disc||あいたくて…　おろしたてのダイアリージャンル
SLPS_018.63|Akagawa Jirou: Majo-tachi no Nemuri: Fukkatsusai||赤川次郎　魔女たちの眠り　－復活祭－
SLPS_014.62|Akagawa Jirou: Yasoukyoku||赤川次郎　夜想曲
SLPS_911.51|Akagawa Jirou: Yasoukyoku||赤川次郎　夜想曲
SLPS_915.03|Akagawa Jirou: Yasoukyoku||赤川次郎　夜想曲
SLPS_014.15|Akagawa Jirou: Yasoukyoku (Shokai Genteiban)||赤川次郎　夜想曲
SLPS_032.13|Akagawa Jirou: Yasoukyoku 2||赤川次郎　夜想曲２
SLPS_006.19|Akazu no Ma||あかずの間
SLES_012.98|Akuji the Heartless||
SLUS_007.15|Akuji the Heartless||
