SCED_531.15|Ace Combat: Squadron Leader (Demo)|
SCES_540.41|Ace Combat: The Belkan War|Namco
SLES_515.03|Ace Lightning|Absolute Entertainment
SLES_525.32|Aces of War|Marionette
SLES_529.56|Action Girlz Racing|Data Design Interactive Ltd
SLES_546.17|Action Man A.T.O.M.: Alpha Teens on Machines|KOCH Media
SLES_547.12|Action Man A.T.O.M.: Alpha Teens on Machines|KOCH Media
SCKA_200.58|Action Romance Bumpy Trot|
SLES_513.13|Activision Anthology|Activision
SLUS_205.88|Activision Anthology|Activision
SLES_525.21|Adiboo and the Energy Thieves|
SLPM_650.61|Adventure of Tokyo Disney Sea: Ushinawareta Houseki no Himitsu|Disney Interactive Studios
SLES_539.56|Aeon Flux|Majesco
SLES_541.69|Aeon Flux|Majesco
SLUS_212.05|Aeon Flux|Majesco
SLPM_651.50|Aero Dancing 4: New Generation|
SLUS_206.14|Aero Elite: Combat Academy|AM2
SLPM_623.01|Aerobics Revolution|
SLPM_654.81|After... Wasureenu Kizuna (Shokai Genteiban)|
SLES_521.25|Agassi Tennis Generation|Aqua Pacific
SLUS_204.46|Agassi Tennis Generation|Aqua Pacific
SLES_502.82|Age of Empires II: The Age of Kings|Konami
SLPM_620.76|Age of Empires II: The Age of Kings|Konami
SLES_535.04|Agent Hugo|ITE Media
SLES_539.10|Agent Hugo|ITE Media
SLES_553.64|Agent Hugo: Hula Holiday|Attractive Games Ltd.
SLES_553.65|Agent Hugo: Hula Holiday|Attractive Games Ltd.
SLES_553.66|Agent Hugo: Hula Holiday|Attractive Games Ltd.
SLES_549.17|Agent Hugo: Lemoon Twist|Beyond Reality Games
SLES_549.18|Agent Hugo: Lemoon Twist|Beyond Reality Games
SLES_549.19|Agent Hugo: Lemoon Twist|Beyond Reality Games
SLES_542.12|Agent Hugo: RoboRumble|Nobilis
SLES_545.20|Agent Hugo: RoboRumble|Nobilis
SLES_504.80|Aggressive Inline|Z-Axis
SLUS_203.27|Aggressive Inline|Z-Axis
SLED_510.74|Aggressive Inline (Demo)|Z-Axis
SLUS_290.21|Aggressive Inline (Demo)|Z-Axis
SLPS_252.25|Ai yori Aoshi|
SLPS_252.24|Ai yori Aoshi (Shokai Genteiban)|
SLPM_659.22|Aikagi: Nukumori to Hidamari no Naka de|
SLPS_252.74|Aikagi: Nukumori to Hidamari no Naka de|
SLPM_658.44|Air|KEY
SLPM_669.82|Air|KEY
SLPS_251.27|Air|KEY
SLES_537.72|Air Raid 3|MereMortalsLtd.
SLPM_654.09|Air Ranger 2 Plus: Rescue Helicopter|
SLKA_250.52|Air Ranger 2: Rescue Helicopter|ASK Kodansha
SLPM_653.25|Air Ranger 2: Rescue Helicopter|ASK Kodansha
SLPS_250.98|Air Ranger 2: Rescue Helicopter|ASK Kodansha
SLES_509.53|Air Ranger: Rescue Helicopter|Midas Interactive
SLPS_200.83|Air Ranger: Rescue Helicopter|Midas Interactive
SCES_502.46|AirBlade|Sony Computer Entertainment
SLUS_203.46|AirBlade|Sony Computer Entertainment
SLUS_290.17|AirBlade (Demo)|Sony Computer Entertainment
SLKA_251.33|AirForce Delta Strike|Konami
SLUS_207.03|AirForce Delta Strike|KCE Studios
SLPM_654.86|AirForce Delta: Blue Wing Knights|
SLPM_657.22|AirForce Delta: Blue Wing Knights|
SLES_529.39|Airborne Troops: Countdown to D-Day|WideScreen Games
SLUS_211.25|Airborne Troops: Countdown to D-Day|WideScreen Games
SLPS_201.96|Akagawa Jirou: Tsuki no Hikari: Shizumeru Kane no Satsujin|
SLPM_622.69|Akagi: Yami ni Oritatta Tensai|
SLPM_550.06|Akane-iro ni Somaru Saka: Parallel (Genteiban)|Feng
SLES_509.19|Akira Psycho Ball|Infogrames
SLPS_201.50|Akira Psycho Ball|Infogrames
SLPM_651.51|Akudaikan|Global A
SLPM_653.39|Akudaikan|Global A
SLPM_653.30|Akudaikan 2: Mousouden|
SLPM_656.20|Akudaikan 2: Mousouden|
SLPM_551.45|Akudaikan 3|
SLPM_666.53|Akudaikan 3|
SLPM_661.75|Akumajou Dracula: Yami no Juin|
SLPM_666.68|Akumajou Dracula: Yami no Juin|
SLPM_611.38|Akumajou Dracula: Yami no Juin (Taikenban)|
SLES_549.58|Alan Hansen's Sports Challenge|
SLES_520.63|Alarm for Cobra 11|
SLES_533.60|Alarm for Cobra 11 Vol. 2: Hot Pursuit|
SLES_529.20|Alarm for Cobra 11: Vol. II|
SLES_504.29|Alex Ferguson's Player Manager 2001|
SLUS_213.21|Alfa Romeo Racing Italiano|Milestone S.r.l
SLES_518.21|Alias|Acclaim Entertainment
SLES_518.22|Alias|Acclaim Entertainment
SLUS_206.73|Alias|Acclaim Entertainment
SLED_524.85|Alias (Demo)|
SLES_531.39|Alien Hominid|The Behemoth
SLUS_210.90|Alien Hominid|The Behemoth
SLES_517.92|Aliens Versus Predator: Extinction|Zono Inc.
SLUS_201.47|Aliens Versus Predator: Extinction|Zono Inc.
SLES_555.32|Aliens in the Attic|Playlogic International
SLES_525.42|All Music Dance!|
SLPS_200.22|All Star Pro-Wrestling|
SLPS_201.39|All Star Pro-Wrestling II|
SLPM_653.00|All Star Pro-Wrestling III|
SLES_502.18|All-Star Baseball 2002|Acclaim
SLPM_620.69|All-Star Baseball 2002|Acclaim
SLUS_200.08|All-Star Baseball 2002|Acclaim
SLES_504.47|All-Star Baseball 2003 featuring Derek Jeter|Acclaim
SLPM_651.37|All-Star Baseball 2003 featuring Derek Jeter|Acclaim
SLUS_203.11|All-Star Baseball 2003 featuring Derek Jeter|Acclaim
SLUS_280.07|All-Star Baseball 2003 featuring Derek Jeter (Trade Demo)|Acclaim
SLES_516.02|All-Star Baseball 2004 featuring Derek Jeter|Acclaim
SLKA_250.57|All-Star Baseball 2004 featuring Derek Jeter|Acclaim
SLUS_205.69|All-Star Baseball 2004 featuring Derek Jeter|Acclaim
SLUS_208.38|All-Star Baseball 2005 featuring Derek Jeter|Acclaim
SLES_544.59|All-Star Fighters|
SLES_548.83|Alone in the Dark|Hydravision
SLES_548.84|Alone in the Dark|Hydravision
SLES_552.07|Alone in the Dark|Hydravision
SLUS_216.90|Alone in the Dark|Hydravision
SLES_501.85|Alone in the Dark: The New Nightmare|
SCES_508.87|Alpine Racer 3|Namco
SLPS_201.81|Alpine Racer 3|Namco
SLES_543.70|Alpine Ski Racing 2007: Bode Miller vs. Hermann Maier|RTL Enterprises
SLES_545.60|Alpine Ski Racing 2007: Bode Miller vs. Hermann Maier|RTL Enterprises
SLES_530.41|Alpine Skiing 2005|
SLES_533.62|Alpine Skiing 2005|
SLES_538.67|Alpine Skiing 2006 featuring Bode Miller|49 Games
SLES_516.70|Alter Echo|Outrage Entertainment
SLES_516.71|Alter Echo|Outrage Entertainment
SLUS_204.65|Alter Echo|Outrage Entertainment
SLUS_290.56|Alter Echo (Demo)|Outrage Entertainment
SLES_530.24|Altered Beast|Wow Entertainment
SLES_550.52|Alvin and the Chipmunks|Brash Entertainment
SLUS_217.06|Alvin and the Chipmunks|Brash Entertainment
SLPS_259.18|Amagami|Enterbrain, Inc.
SLPS_259.87|Amagami (Limited Edition)|Enterbrain, Inc.
SLPS_259.89|Amagami (Limited Edition)|Enterbrain, Inc.
SLPS_257.02|Amagoushi no Yakata|
SLPS_258.47|Amagoushi no Yakata: Ichiyanagi Nagomu, Saisho no Junan|
SLPS_251.06|America Oudan Ultra Quiz|
SLPS_252.29|America Oudan Ultra Quiz|
SLES_523.66|America's 10 Most Wanted|Atari
SLES_523.67|America's 10 Most Wanted|Atari
SLPS_200.11|American Arcade|
SLES_531.08|American Chopper|Creat Studios
SLUS_210.69|American Chopper|Creat Studios
SLES_537.79|American Chopper 2: Full Throttle|Creat Studios
SLUS_212.88|American Chopper 2: Full Throttle|Creat Studios
SLUS_208.16|American Idol|Hothouse Creations
SCES_517.06|Amplitude|Harmonix
SCUS_972.58|Amplitude|Harmonix
SCED_519.05|Amplitude (Demo)|Harmonix
SCUS_972.62|Amplitude (Demo)|Harmonix
SCUS_978.69|Amplitude: P.O.D. (Demo)|
SLES_546.26|An American Tail|
SLPM_668.58|An Itsuka, Todokuo Sora ni.: You no Michi to Hi no Tasogare to|
SLPM_667.09|Angel Profile|GeneX
SLPM_658.28|Angel Wish: Kimi no Egao ni Chu!|
SLPM_655.13|Angel's Feather|Blue Impact
SLPM_655.12|Angel's Feather (Shokai Genteiban)|Blue Impact
SLPM_659.43|Angel's Feather: Kuro no Zan'ei|Blue Impact
SLPM_652.39|Angelic Concert|
SLPM_620.21|Angelique Trois|Koei/Inis
SLPM_620.22|Angelique Trois|Koei/Inis
SLPM_650.44|Angelique Trois: Aizouban|
SLPM_651.59|Angelique Trois: Aizouban|
SLPM_655.41|Angelique Trois: Aizouban|
SLPM_660.06|Angelique Trois: Aizouban|
SLPM_650.37|Angelique Trois: Aizouban (Shokai Gentei)|
SLPM_657.14|Angelique Étoile|Koei
SLPM_657.15|Angelique Étoile|Koei
SLPM_665.24|Angelique Étoile|Koei
SLPM_669.38|Angelique Étoile|Koei
SLES_523.71|Animal Soccer World|Phoenix Games
SLES_527.29|Animaniacs: The Great Edgar Hunt|Ignition Entertainment
SLPM_656.04|Anime Battle: Rekka no Honoo: Flame of Recca: Final Burning|Konami
SLPM_661.55|Anime Battle: Rekka no Honoo: Flame of Recca: Final Burning|Konami
SLPM_650.27|Anime Eikaiwa: 15 Shounen Hyouryuuki: Hitomi no Naka no Shounen|Success
SLPM_650.29|Anime Eikaiwa: Tondemo Nezumi Daikatsuyaku|Success
SLPM_650.28|Anime Eikaiwa: Tottoi|Success
SLPS_253.94|Another Century's Episode|FromSoftware, Inc.
SLPS_732.27|Another Century's Episode|FromSoftware, Inc.
SLPS_256.23|Another Century's Episode 2|
SLPS_258.29|Another Century's Episode 2: Special Vocal Version|
